snr_db,total_bits,bit_errors,ber,accepted_frames,acceptance_rate,average_iterations,max_iterations,worst_frame_ms
1,299880,12419,0.0414132319595,23,0.225490196078,37.6405228758,50,282.8864
1.1,299880,7653,0.0255202080832,38,0.372549019608,32.568627451,50,270.425
1.2,299880,4441,0.0148092570361,65,0.637254901961,27.9019607843,50,223.0317
1.3,299880,2424,0.00808323329332,78,0.764705882353,24.1209150327,50,257.3138
1.4,299880,1097,0.00365812991863,90,0.882352941176,21.0522875817,50,123.4957
1.5,299880,328,0.00109377084167,96,0.941176470588,18.5424836601,50,108.4956
1.6,299880,72,0.000240096038415,100,0.980392156863,16.4869281046,50,245.3996
1.7,299880,0,0,102,1,15.0098039216,47,299.9697
1.8,299880,0,0,102,1,13.7026143791,33,341.9174
1.9,299880,0,0,102,1,12.7516339869,30,348.9044
2,299880,0,0,102,1,11.8986928105,25,270.0325
